file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
doreco_port1286_2017_06_30_Jaklin.wav,es,458,lo,443,91.312,91.372,91.342,0.060000000000002274,194.76920422949436,191.55359944658917,202.60850112284527,202.60850112284527,191.55359944658917,-0.9713588774941764,falling,\,\,75.08340961927988,0.04809652052315454,6.022791782788526,SS2,False,10,572.0845055659386,1352.8443944387107,3121.169960677711,l o
doreco_port1286_2017_06_30_Jaklin.wav,es,459,que,444,91.432,91.512,91.47200000000001,0.0799999999999983,195.32255768323495,192.66644263384322,200.6509098809833,192.66644263384322,200.6509098809833,0.702988605686067,level,–,–,74.95390248794281,0.09721239921491509,5.798357104418694,SS2,False,10,666.4383931690096,934.1283978245733,3174.315007323549,k e
doreco_port1286_2017_06_30_Jaklin.wav,es,460,es,445,91.532,91.572,91.55199999999999,0.04000000000000625,210.22946484883946,205.08195811634982,215.25409655934317,205.08195811634982,215.25409655934317,0.8380813978000419,level,–,–,75.34828467058861,1.3704881255123718,7.222500910135958,SS2,False,10,578.6096359199742,1042.9507788973067,2830.161145981979,e s
doreco_port1286_2017_06_30_Jaklin.wav,es,461,lo,446,91.592,91.732,91.662,0.14000000000000057,204.6870293913892,186.48434035983126,214.1736443578514,213.40310345648493,186.48434035983126,-2.3343200253848657,falling,\\,\\,66.56295310012769,0.9079457160175255,7.904783865407499,SS2,False,3,781.949252190424,1700.909897781664,2983.8081687473127,l o
doreco_port1286_2017_06_30_Jaklin.wav,es,462,que,447,91.752,91.852,91.80199999999999,0.10000000000000853,181.5516911835593,179.793762484329,184.02132956073083,182.0383405235176,184.02132956073083,0.18756787497525373,level,–,–,71.65214944273382,-1.1685260689260897,6.222179921610696,SS2,False,10,588.9647813366104,2151.6287016709316,3192.93831230038,k e
doreco_port1286_2017_06_30_Jaklin.wav,es,463,es,448,91.953,91.993,91.973,0.03999999999999204,186.56788875999752,186.24732998813752,186.91416077648367,186.90389423988492,186.6314636381768,-0.025252828540227916,level,–,–,73.08614297033239,-0.6966821314190208,5.645380678772544,SS2,False,10,491.61086351072277,2550.1941505647915,3312.866398912475,e s
doreco_port1286_2017_06_30_Jaklin.wav,es,464,lo,449,92.013,92.053,92.033,0.03999999999999204,185.43896779414564,184.8152982221968,186.6399067301942,186.6399067301942,184.9522277423466,-0.15725776443791126,level,–,–,72.54064532975242,-0.801757206246309,5.860640783874317,SS2,False,10,636.1514583750953,2246.48788869177,3141.2475618059693,l o
doreco_port1286_2017_06_30_Jaklin.wav,es,465,que,450,92.073,92.153,92.113,0.0800000000000125,181.44294302343536,178.74871458515494,183.57078089810878,183.57078089810878,178.74871458515494,-0.4608428988806082,level,–,–,71.06558853149114,-1.178899143647909,6.482365583788162,SS2,False,10,379.69804729773205,1710.0191991732445,2803.379645569018,k e
doreco_port1286_2017_06_30_Jaklin.wav,es,466,es,451,92.173,92.253,92.213,0.0799999999999983,176.82093133712578,175.2280435988767,178.75542803157316,178.75542803157316,175.2280435988767,-0.3450404136760016,level,–,–,68.11644249523309,-1.6256217166351683,6.695319830120494,SS2,False,10,467.39371720783595,2418.6303734385215,3164.2150311931573,e s
doreco_port1286_2017_06_30_Jaklin.wav,es,467,lo,452,92.273,92.453,92.363,0.18000000000000682,170.3592399994783,163.03909057217476,174.29853254441477,174.29853254441477,165.04222183490307,-0.9447032978116685,falling,\,\,68.0031991877396,-2.2701281116132646,7.9349593769345175,SS2,False,9,398.0514723037188,1817.071553099932,3085.875523350311,l o
